# 19-slot 40, 20- slot 30, 21-slot 20, 22-slot 50,,,,,,,,,,,,,,,,,,,,
# 17-slot 60,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
# 19-packet 75, 20-packet 70, 21-packet 59, 22-packet 77,,,,,,,,,,,,,,,,,,,,
# 17-packet 80,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
# 19-packet 5, 20-packet 4, 21-packet 2, 22-round 7,,,,,,,,,,,,,,,,,,,,
# 17-round 9,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
# 19-packet 63, 20-packet 57, 21-packet 49, 22-real 63,,,,,,,,,,,,,,,,,,,,
# 17-real 66,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
sf,dis,pos,size,scale,lbt,slot_number,packet,start_time,end_time,last_time_s,node2energy_mj,node4energy_mj,all_energy_aver_mj,all_dev_mj,node2_true,node4_true,cpu,lpm,tx,rx,pdr,energy,round
7,1,5,5,20,0,20,0,2020-9-28 7:35:32,2020-9-28 7:36:22,50 ,0,0,0,0,5361.218034,5406.913474,1364013,30749294,218309,17971575,0,5084.262601,1
7,1,5,5,20,0,20,49,2020-9-28 7:36:22,2020-9-28 7:40:27,240 ,0,0,0,0,30925.1515,29992.49113,9116986,154949777,12786483,113832379,867924,28308.0844,4.36
7,1,5,5,20,0,20,0,2020-9-28 7:47:32,2020-9-28 7:48:22,50 ,0,0,0,0,5247.456455,5356.369041,1381325,31682018,280641,16952265,0,4968.27623,1
7,1,5,5,20,0,20,49,2020-9-28 7:48:22,2020-9-28 7:52:28,240 ,0,0,0,0,32178.07944,31367.88618,9778692,146605620,19652742,113798464,903846,30000.13376,4.36
7,1,5,5,20,0,20,0,2020-9-28 7:59:31,2020-9-28 8:00:21,50 ,0,0,0,0,5392.035943,5509.378965,1351309,30669249,218291,18068122,0,5096.490081,1
7,1,5,5,20,0,20,49,2020-9-28 7:48:22,2020-9-28 8:04:29,243 ,0,0,0,0,32470.09473,31637.92671,9108109,153816388,10651013,120024475,814814,28745.41841,4.36
7,1,5,5,50,0,20,0,2020-9-28 9:07:31,2020-9-28 9:08:26,55 ,0,0,0,0,6115.097772,6307.249121,1450457,32651578,155921,20568478,0,5647.000333,1
7,1,5,5,50,0,20,62,2020-9-28 9:08:26,2020-9-28 9:12:27,236 ,0,0,0,0,32613.5087,39161.23339,9372557,134383422,26906347,120155896,846153,31876.34993,3.45
7,1,5,5,50,0,20,0,2020-9-28 9:31:31,2020-9-28 9:32:52,81 ,0,0,0,0,9026.733783,9151.310346,2138917,47912518,187097,31204059,0,8460.933591,1
7,1,5,5,50,0,20,56,2020-9-28 9:32:52,2020-9-28 9:36:29,212 ,0,0,0,0,27225.4359,27242.75403,8938551,148521964,17824526,118528432,938461,26875.60862,3.82
7,1,5,5,50,0,20,0,2020-9-28 9:55:31,2020-9-28 9:56:25,54 ,0,0,0,0,5903.975432,6135.201395,1429468,32154521,155920,20104968,0,5534.47735,1
7,1,5,5,50,0,20,62,2020-9-28 9:56:25,2020-9-28 10:00:27,237 ,0,0,0,0,35034.08463,33417.85596,9322613,137943919,26267664,117517795,953125,31512.23305,3.45
7,1,5,5,50,0,20,0,2020-9-28 10:31:34,2020-9-28 10:32:56,81 ,0,0,0,0,9357.213751,9252.762027,2138693,48075717,155902,31126173,0,8446.521128,1
7,1,5,5,50,0,20,56,2020-9-28 10:32:56,2020-9-28 10:36:32,211 ,0,0,0,0,29707.60267,29025.78351,9299781,140487989,20068369,122673525,907692,27888.08117,3.82
